cutoff,R,n_roi,n_nonroi,med_roi,med_nonroi,p,cliffs_delta
c4.5,6,37,202,2.082030999999999e-05,-8.8386545e-06,0.16603476186123156,0.14343055927214343
c4.5,8,70,169,-1.8257499999999884e-07,-7.300779999999988e-06,0.9254734338710999,0.007776838546069315
c4.5,10,89,150,-1.6314200000000007e-06,-7.461499999999996e-06,0.8731482768818697,-0.012434456928838952
c7.0,6,37,202,-3.2407879999999984e-05,-4.9102675000000005e-06,0.8614040612509302,-0.018196414236018196
c7.0,8,70,169,-1.6273695e-05,-3.060299999999981e-06,0.7105764907763956,-0.030600169061707524
c7.0,10,89,150,-1.2165810000000004e-05,-5.504317499999999e-06,0.7152601443725403,0.028314606741573035
